year,volume,issue,page,name1,middlename1,surname1,name2,middlename2,surname2,name3,middlename3,surname3,name4,middlename4,surname4,title,abstract,subfield
1970,7,2,235-240,John,,Stoeckel,,,,,,,,,,Infant Mortality Trends in Rural East Pakistan,"Infant mortality trends in a rural area of East Pakistan are analyzed utilizing the Bogue pregnancy history technique. The findings indicate that infant mortality has declined slightly over 20 percent between 1958 and 1967. The existence of development programs in women's education and family planning since 1961 are proposed as possible reasons for this finding. A convergence in infant mortality rates to mothers in the age range 15-39 years was found in the final year under analysis, while the standard U shaped pattern of infant mortality with age structure was exhibited in the previous years. One possible explanation for the convergence is that the development programs are reaching women within this age range more equally than in the past. An alternative explanation relating to the problems of recall of mortality events was discussed.",2
1970,7,2,195-209,James,A.,Sweet,,,,,,,,,,Family Composition and the Labor Force Activity of American Wives,"This is a study of the employment patterns of American wives in relation to the composition of their families. The data are taken from the 1960 United States Census, both from published tabulations and the 1/1000 sample. The population studied is non-Negro, non-farm, married, husband present women who are under the age of sixty. The methods of analysis used include the comparison of employment rates among subpopulations and a dummy variable regression technique. Aspects of family composition studied include age of the youngest child (in single years in order to determine whether there are discontinuities in the rates of employment when youngest children enter school, etc.), number of children in the family, and the presence of other relatives in the family. The paper concludes with a discussion of the meaning of family status differentials in employment including differential preferences for employment, differential fertility experience, and differential demands on the mother's time. Some discussion of the use of cross section data of this sort to infer life cycle patterns of employment is included.",4
1970,7,2,121-134,Yoshihiro,,Tsubouchi,,,,,,,,,,Changes in Fertility in Japan by Region: 1920-1965,"Changes in fertility for the 46 prefectures of Japan are traced from 1920 to 1965, using census and vital statistics. During the period, substantial declines were recorded in both marital-fertility levels and the proportions of women of childbearing age who were married. Regional variation is pronounced in the timing of the onset of the decline in marital fertility. Only in the most industrialized districts did marital fertility begin to fall before 1950; thereafter, sharp declines were recorded in all parts of Japan. The marriage proportion, in contrast, was falling rather steadily throughout the islands between 1920 and 1950, after which the proportion stabilized. The decline in overall fertility that occurred before 1950 was caused, then, primarily by a reduction in the proportion married; only after 1950 did a decline in marital fertility become a major factor. The time pattern of change in marital-fertility levels and proportions married for Japan differs from that observed in western Europe, where low proportions married are recorded in the earliest national censuses. Apparently a fall in proportions married in western Europe preceded by one or two centuries the major sustained declines in marital fertility that were part of the so-called demographic transition.",1
1970,7,3,325-327,J.,Richard,Udry,,,,,,,,,,The Effect of the Great Blackout of 1965 on Births in New York City,A comparison of the number of births in New York City nine months after the Great Blackout of 1965 with comparable periods for the previous five years shows no increase in births associated with the blackout.,1
1970,7,4,433-448,Etienne,van,de,John,,Knodel,,,,,,,Teaching Population Dynamics With a Simulation Exercise,"Because many students learn general points best by an empirical demonstration rather than by a purely analytical approach, most of the mysteries of the formation and the evolution of a population under the action of mortality and fertility can be conveniently demonstrated on a computer in the form of population projections under various assumptions. Such an exercise can be simple and yet constitute a powerful teaching tool. Not only will it enable the student to observe the effects of central demographic processes but also it will serve to integrate through concrete applications many of the more technical concepts usually covered in an introductory population course, but rarely made meaningful to average beginning students. An easily administrable exercise along these lines is described in hopes that other instructors in population courses will find it as useful a teaching device as we did.",5
1970,7,3,329-339,John,B.,Williamson,,,,,,,,,,Subjective Efficacy and Ideal Family Size as Predictors of Favorability Toward Birth Control,"This study is an assessment of the relevance of subjective efficacy and ideal family size as predictors of favorability toward birth control. The samples considered are male factory workers in five developing nations. The effects of ideal family size and subjective efficacy are generally strong relative to those of education and the other social variables that are considered. The focus of the study is an analysis of whether subjective efficacy and ideal family size function more as independent determinants or more as intervening variables. Overall these psychological variables function more as independent determinants than as intervening variables, but in some samples these two functions are equally important.",1
1995,32,2,139-157,Kofi,D.,Benefo,,,,,,,,,,The Determinants of the Duration of Postpartum Sexual Abstinence in West Africa: A Multilevel Analysis,"The question of how postpartum sexual abstinence responds to social change in West Africa is important because declines in the practice could increase fertility levels and worsen child and maternal health. This study uses data from the late 1970s in Cote d'Ivoire, Ghana, and Cameroon to examine effects of modernization and women's status on the length of abstinence. The results show that modernization and female status should be associated with declines in abstinence, which could lead to an increase in fertility and deterioration in maternal and child health.",1
1995,32,1,47-62,Neil,G.,Bennett,David,E.,Bloom,Cynthia,K.,Miller,,,,The Influence of Nonmarital Childbearing on the Formation of First Marriages,"We document a negative association between nonmarital childbearing and the subsequent likelihood of first marriage in the United States, controlling for a variety of potentially confounding influences. Nonmarital childbearing does not appear to be driven by low expectations of future marriage. Rather, it tends to be an unexpected and unwanted event, whose effects on a woman's subsequent likelihood of first marriage are negative on balance. We find that women who bear a child outside marriage and who receive welfare have a particularly low probability of marrying subsequently, although there is no evidence that AFDC recipients have lower expectations of marriage. In addition, we find no evidence that stigma associated with nonmarital childbearing plays an important role in this process or that the demands of children significantly reduce unmarried mothers' time for marriage market activities.",1
1995,32,1,111-131,Kenneth,A.,Bollen,David,K.,Guilkey,Thomas,A.,Mroz,,,,Binary Outcomes and Endogenous Explanatory Variables: Tests and Solutions with an Application to the Demand for Contraceptive Use in Tunisia,"Many demographic studies examine discrete outcomes, and researchers often suspect that some of the explanatory variables may be influenced by the same unobserved factors that determine the discrete outcome under examination. In linear models, the standard solution to this potential endogeneity bias is an estimator such as two-stage least squares. These methods have been extended to models with limited dependent variables, but there is little information on the performance of the methods in the types of data sets typically used in demographic research. This paper helps to fill this gap. It describes a simple analytic framework for estimating the effects of explanatory variables on discrete outcomes, which controls for the potential endogeneity of explanatory variables. It also discusses tests for exogeneity and joint determination of the outcomes and the explanatory variables. It summarizes the results of a Monte Carlo study of the performance of these techniques and uses these results to suggest how researchers should approach these problems in practice. We apply these methods to the examination of the impact of fertility intentions on contraceptive use, based on data from the 1988 Tunisia Demographic and Health Survey.",5
1995,32,1,97-109,Larry,L.,Bumpass,R.,Kelly,Raley,,,,,,,Redefining Single-Parent Families: Cohabitation and Changing Family Reality,"This paper explores the implications, for the measured prevalence and duration of mother-only families, of marked changes in nonmarital fertility, unmarried cohabitation, and homeleaving and re-entry. Throughout, estimates are compared on the basis of marital definitions and definitions including cohabitation. The duration of the first single-parent spell appears to have increased under the marital definition, but declines substantially when cohabitations are taken into account. A substantial proportion of single mothers have spent some time as single parents while in their parents' household. Hence we argue that definitions of single-parent families must be based on living arrangements rather than on the parents' marital status.",1
1995,32,3,425-436,Larry,L.,Bumpass,R.,Kelly,Raley,James,A.,Sweet,,,,The Changing Character of Stepfamilies: Implications of Cohabitation and Nonmarital Childbearing,"Divorce, nonmarital childbearing, and cohabitation are reshaping family experience in the United States. Because of these changes, our traditional definitions of families decreasingly capture the social units of interest. We have noted how a significant proportion of officially defined single-parent families actually are two-parent unmarried families. The present paper expands on this perspective with respect to stepfamilies. We must broaden our definition of stepfamilies to include cohabitations involving a child of only one partner, and must recognize the large role of nonmarital childbearing in the creation of stepfamilies. We find that cohabitation and nonmarital childbearing have been important aspects of stepfamily experience for at least two decades, and that this is increasingly so. To define stepfamilies only in terms of marriage clearly underestimates both the level and the trend in stepfamily experience: when cohabitation is taken into account, about two-fifths of all women and 30% of all children are likely to spend some time in a stepfamily.",1
1995,32,3,299-318,Andrew,J.,Cherlin,Kathleen,E.,Kiernan,P.,Lindsay,Chase-Lansdale,,,,Parental Divorce in Childhood and Demographic Outcomes in Young Adulthood,"We investigated the long-term effects of parental divorce in childhood on demographic outcomes in young adulthood, using a British longitudinal national survey of children. Our analyses control for predisruption characteristics of the child and the family, including emotional problems, cognitive achievement, and socioeconomic status. The results show that by age 23, those whose parents divorced were more likely to leave home because of friction, to cohabit, and to have a child outside marriage than were those whose parents did not divorce. Young adults whose parents divorced, however, were no more or less likely to marry or to have a child in a marriage. Moreover, even in the divorced group, the great majority did not leave home because of friction or have a child outside marriage.",1
1995,32,2,215-229,Bruce,A.,Christenson,Nan,E.,Johnson,,,,,,,Educational Inequality in Adult Mortality: An Assessment with Death Certificate Data from Michigan,"Education was added to the U.S. Standard Certificate of Death in 1989. The current study uses Michigan's 1989-1991 death certificates, together with the 1990 Census, to evaluate the quality of data on education from death certificates and to examine educational differences in mortality rates. With log-rates modeling, we systematically analyze the variability in educational differences in mortality by race and sex across the adult life cycle. The relative differences in mortality rates between educational levels decline with age at the same pace for all sex and race categories. Women gain a slightly greater reduction in mortality than men by reaching the secondary-education level, but a modestly smaller reduction by advancing beyond it. Blacks show a reduction in predicted mortality rates comparable to whites' by moving from the secondary to the postsecondary level of education but experience less reduction than whites by moving from the primary to the secondary level. Thus, the secular decline in mortality rates that generally accompanies historical improvements in education might actually be associated with an increase in the relative differences between blacks' and whites' mortality. We discuss limitations of the data and directions for future research.",2
1995,32,2,183-201,William,A.,V.,Peter,A.,Morrison,,,,,,,Demographic Foundations of Political Empowerment in Multiminority Cities,"As U.S. cities accommodate increasing ethnic and racial diversity, political choices may unify or divide their local populations. Those choices pull communities toward two different modes of pluralism: traditional ""melting pot"" assimilation or a complex mosaic of racial and ethnic assertiveness. Central to this issue is equity and empowerment, which may be accentuated by minority populations' size, structure, and spatial concentration. We examine two potential modes of local empowerment: ""dominance,"" whereby each group is the majority of voters in single election districts (reinforcing separative tendencies), and ""influence,"" whereby a group gains ""influential minority"" status in several districts (reinforcing unifying tendencies).",4
1995,32,2,231-247,James,C.,Cramer,,,,,,,,,,Racial and Ethnic Differences in Birthweight: The Role of Income and Financial Assistance,"This paper attempts to explain the differences in birthweight observed between blacks, white Anglos, Chicanos, and other racial and ethnic groups. The analysis focuses on the role of income and financial assistance from relatives and public programs. Using data from the NLS Youth Panel, I construct a causal model of birthweight containing exogenous social and demographic risk factors and intervening proximate determinants of birthweight. A substantial part of the gap in birthweight between white Anglos and other ethnic groups (especially blacks) can be explained by the unfavorable socioeconomic and demographic characteristics of the latter. On the other hand, blacks and other minorities smoke less and have other favorable proximate characteristics that depress differences in birthweight. When these proximate determinants are controlled, large ethic differences in birthweight remain unexplained by income and other sociodemographic factors.",1
1995,32,1,16-Jan,Douglas,Lee,Eckberg,,,,,,,,,,Estimates of Early Twentieth-Century U.S. Homicide Rates: an Econometric Forecasting Approach,"Bureau of the Census death registration records, as reported in Mortality Statistics, are a primary source for early twentieth-century U.S. homicide statistics. Those data appear to show a massive rise in homicide during the first decade of the century, with a continuing increase through 1933. This increase is quite at variance with the trend away from violence in other industrialized societies. During the first one-third of the century, however, death registration was incomplete; it occurred only in an expanding ""registration area"" that was composed, in the earlier years, primarily of states with typically low rates of homicide. Further, in the first decade of the century homicides within the registration area often were reported as accidental deaths. As a result, apparent increases in rates of homicide in the United States between 1900 and 1933 may be illusory. I use a two-step process to address these problems. Drawing on internal evidence and commentaries in early volumes of Mortality Statistics, I use GLS regression to estimate the prevalence of undercounts. Then I create a series of GLS models that use registration area data to estimate early twentieth-century national rates. These estimates call into question the extent of homicide change early in the century.",2
1995,32,1,63-80,Susan,L.,Ettner,,,,,,,,,,"The Impact of ""Parent Care"" on Female Labor Supply Decisions","Data from the 1986-1988 Survey of Income and Program Participation panels were used to analyze how informal caregiving of disabled elderly parents affected female labor supply. Instrumental variables analyses suggested that coresidence with a disabled parent leads to a large, significant reduction in work hours, due primarily to withdrawal from the labor force. Although the impact of nonhousehold member caregiving was insignificant, evidence of an effect was stronger when commitment of caregiving time was greater. Projections of female labor force participation rates should account for potential increases in caregiving demand due to the aging of the U.S. population.",4
1995,32,3,459-470,Vicki,A.,Freedman,Douglas,A.,Wolf,,,,,,,A Case Study on the Use of Multiple Imputation,"Multiple imputation is a relatively new technique for dealing with missing values on items from survey data. Rather than deleting observations for which a value is missing, or assigning a single value to incomplete observations, one replaces each missing item with two or more values. Inferences then can be made with the complete data set. This paper presents an application of multiple imputation using the 1987-1988 National Survey of Families and Households. We impute several binary indicators of whether the respondent's elderly mother/mother-in-law is married. Descriptive statistics are then presented for the sample of adult children with an unmarried mother or mother-in-law.",5
1995,32,3,319-333,Frank,F.,Furstenberg,,,,Saul,D.,Hoffman,Laura,,Shrestha,The Effect of Divorce on Intergenerational Transfers: New Evidence,"This paper draws on new data on intergenerational transfers of time and money that were collected in the Panel Study of Income Dynamics. We use these data to examine the effects of divorce on these transfers. We find that the timing of divorce is critical. Fathers and mothers involved in late divorces have similar levels of transfers with their adult children, while divorce during a child's childhood years increases transfers with mothers and sharply lowers them with fathers. Somewhat surprisingly, we find no evidence that divorced fathers who paid child support are more likely to be involved in intergenerational transfers than those who did not pay child support.",4
1995,32,3,471-480,Frances,K.,Goldscheider,,,,,,,,,,Interpolating Demography with Families and Households,"This paper argues that the field of household and family demography serves a critical role in the development of our understanding of the determinants and consequences of population trends. Like the community, families and households are situated between the two levels at which demographic research is ordinarily conducted - the individual and the nation-state. The results of the papers in this issue are used to illustrate the critical ways that intergenerational and gender relationships shape demographic processes.",5
1995,32,2,249-260,Pedro,M.,Hernandez,Andrea,H.,Beller,John,W.,Graham,,,,"Changes in the Relationship between Child Support Payments and Educational Attainment of Offspring, 1979-1988","We examine changes over the 1980s in the effect of child support payments on the educational attainment of children age 16 to 19 in the United States, and why child support has a stronger impact than other sources of income. We use 1979 and 1988 Current Population Survey data, covering a period when improvements in enforcement should have increased the proportion of reluctant fathers paying support. We hypothesize and find that the positive effect of child support on education diminished somewhat over this period, both absolutely and in relation to other income.",1
1995,32,3,379-405,Lynn,A.,Karoly,Gary,,Burtless,,,,,,,"Demographic Change, Rising Earnings Inequality, and the Distribution of Personal Well-Being, 1959-1989",This paper uses new methods to determine the sources of the sharp fall and then the steep rise in personal income inequality between 1959 and 1989. The increase in the proportion of single-head families tended to boost inequality over the entire period. Forty percent of the reduction in income inequality in the 1960s occurred because of the decline in earnings inequality among male heads of families; more than one-third of the increase in inequality after 1969 occurred because inequality in male earnings soared. Since 1979 females' gains in earnings have increased inequality because these gains have been concentrated increasingly in families with high incomes.,4
1995,32,4,543-555,Allen,C.,Kelley,Robert,M.,Schmidt,,,,,,,Aggregate Population and Economic Growth Correlations: The Role of the Components of Demographic Change,"The results of recent correlations showing a negative impact of population growth on economic development in cross-country data for the 1980s, versus ""nonsignificant"" correlations widely found for the 1960s and 1970s, are examined with contemporaneous and lagged components of demographic change, convergence-type economic modeling, and several statistical frameworks. The separate impacts of births and deaths are found to be notable but offsetting in the earlier periods. In contrast, the short-run costs (benefits) of births (mortality reduction) increase (decrease) significantly in the 1980s, and the favorable labor-force impacts of past births are not fully offsetting.",4
1995,32,3,335-352,Ellen,A.,Kramarow,,,,,,,,,,The Elderly Who Live Alone in the United States: Historical Perspectives on Household Change,"One of the most dramatic changes in the life of the elderly in the United States in the twentieth century is the rise in the proportion of elderly widows living alone. This paper examines this transformation by comparing the determinants of elderly widows' living alone at four points in time, in 1910, 1940, 1960, and 1990. Logistic regression models of the probability of living alone are estimated. The results of these models are used to calculate the expected proportion of elderly widows living alone in various hypothetical scenarios of social change. This analysis suggests that no single factor is responsible for the rise in living alone among the elderly. Value changes, as represented by a variable for time, are shown to have strong and direct effects on the increased probability of living alone in old age in the late twentieth century, independent of the effect of rising income levels. These results are discussed in light of previous research on living arrangements of the elderly, which articulates demographic, economic, and cultural explanations for change.",7
1995,32,4,599-615,Lauren,J.,Krivo,,,,,,,,,,Immigrant Characteristics and Hispanic-Anglo Housing Inequality,"This paper seeks to explain why Hispanic households in the United States live in housing markedly inferior to Anglos'. I argue that immigrant characteristics of Hispanic households and the metropolitan areas in which Hispanics live play important roles in determining such inequality in the housing market. Empirical analyses of homeownership, household crowding, and housing costs demonstrates that immigration plays a role in explaining relatively low homeownership and high household crowding for each of four large Hispanic populations (Mexicans, Puerto Ricans, Cubans, and other Hispanics). The role of immigrant characteristics in determining housing costs is much weaker.",3
1995,32,3,365-378,Arleen,,Leibowitz,Jacob,Alex,Klerman,,,,,,,Explaining Changes in Married Mothers' Employment over Time,"Employment of married mothers with preschool children rose dramatically between 1971 and 1990. Using CPS data, we find that about one-fifth of the increase in labor supply can be attributed to changes in mothers' demographic characteristics (age, education, and number of children). Changes in the earnings opportunities of new mothers and their husbands explain another one-fifth of the growth in employment. Over the two decades, infants up to three months old became less of a barrier to employment, while women's labor supply became more sensitive to their own earnings opportunities and less sensitive to those of their husbands.",4
1995,32,3,437-457,Lee,A.,Lillard,Michael,J.,Brien,Linda,J.,Waite,,,,"Premarital Cohabitation and Subsequent Marital Dissolution: A Matter of Self-Selection?""","Married couples who began their relationship by cohabiting appear to face an increased risk of marital dissolution, which may be due to self-selection of more dissolution-prone individuals into cohabitation before marriage. This paper uses newly developed econometric methods to explicitly address the endogeneity of cohabitation before marriage in the hazard of marital disruption by allowing the unobserved heterogeneity components to be correlated across the decisions to cohabit and to end a marriage. These methods are applied to data from the National Longitudinal Study of the High School Class of 1972. We find significant heterogeneity in both cohabitation and marriage disruption, and discover evidence of self-selection into cohabitation.",1
1995,32,3,353-364,John,R.,Logan,Glenna,D.,Spitze,,,,,,,Self-Interest and Altruism in Intergenerational Relations,"Self-interest and altruism in the relationships between generations can be manifested both within the family and in the public arena. The present study compares levels of support between age groups 40-49, 50-59, 60-69, 70-79, and 80+ on a series of attitudes about ""appropriate"" parent-child relations and governmental programs for older people. On both kinds of measures, older people tend consistently to be least likely to adopt the ""pro-elderly"" position. This association is maintained when controls are introduced in multivariate analyses. Altruism, not self-interest, seems to govern the attitudes of the older generation in this sample. This finding should mitigate potential conflicts over issues of intergenerational equity and fairness, both within the family and in public policy.",4
1995,32,4,617-628,B.,Lindsay,Lowell,Jay,,Teachman,Zhongren,,Jing,,,,Unintended Consequences of Immigration Reform: Discrimination and Hispanic Employment,"The record-keeping requirements of the Immigration Reform and Control Act (IRCA), and fines for illegal employment, may induce employers to discriminate against foreign-appearing workers. The General Accounting Office (GAO) reported widespread IRCA-related discrimination but did not link reported discriminatory practices to discriminatory employment behavior. We analyze the GAO's random survey and, controlling for selectivity effects, demonstrate that employers who report discriminatory practices actually employ fewer Hispanics. Although the measured reduction of Hispanic employment due to IRCA is fairly small, this finding parallels research alerting us to adverse consequences of a law that so far has achieved few of its intended effects.",3
1995,32,2,261-280,Diane,N.,Lye,Daniel,H.,Klepinger,Patricia,Davis,Hyle,Anjanette,,Nelson,Childhood Living Arrangements and Adult Children's Relations with their Parents,"We examine the relationship of childhood living arrangements to adult child-parent relations. Compared with adult children raised in intact families, adult children whose parents divorced have less frequent contact with their parents and report a lower-quality relationship with their parents. We observe these negative effects for both custodial and noncustodial parents, although the effects are larger for noncustodial parents. Remarriage of the custodial parent tends to offset the the negative impacts of divorce on relations with the custodial parent and to amplify the negative impacts on relations with noncustodial parents. Further, the longer the adult child lived apart from the parent, the weaker are relations with noncustodial parents.",1
1995,32,1,17-28,Diane,J.,Macunovich,Richard,A.,Easterlin,Christine,M.,Schaeffer,Eileen,M.,Crimmins,Echoes of the Baby Boom and Bust: Recent and Prospective Changes in Living Alone among Elderly Widows in the United States,"Today the great majority of noninstitutionalized elderly widows live alone, a striking increase from a quarter-century ago. A noticeable difference has occurred, however, in trends by age; the proportion of the young-old widows living alone is starting to decline, while that of the old-old continues to increase. We use a model suggested by earlier studies to explain the emergence of this difference, and assess the prospects of its continuing over the next three decades. We find that the recent differential change in the proportions of younger and older widows living alone is due primarily to a differential change in kin availability that has emerged as the baby boomers' parents have begun to reach retirement age. Over the next decade, the same type of differential change by age in kin availability will continue; living alone is likely to become less common among young-old than among old-old widows, in a reversal of the pattern of the last quarter-century. In the first two decades of the next century, as the baby boom affects kin availability among the old-old, and as the subsequent baby bust affects that among the young-old, the age pattern of living arrangement among elderly widows will reverse once again.",7
1995,32,4,509-520,Wendy,D.,Manning,Pamela,J.,Smock,,,,,,,Why Marry? Race and the Transition to Marriage among Cohabitors,"Our study investigates the transition to first marriage among cohabiting black and white men and women, drawing on data from the National Survey of Families and Households. Our results underscore the importance of economic factors on the transition to marriage for both black and white cohabitors. We also find that for black cohabitors, but not for whites, socioeconomic disadvantage during childhood reduces the odds of marriage. The presence of children in cohabiting unions tends to increase the chances of marrying a cohabiting partner for both blacks and whites. Our results demonstrate the importance of including cohabitation in research on the marriage process.",1
1995,32,2,203-213,Douglas,S.,Massey,Audrey,,Singer,,,,,,,New Estimates of Undocumented Mexican Migration and the Probability of Apprehension,"Using a new source of data, we estimate the probability of apprehension among Mexican migrants attempting to cross into the United States without documents. Over the period 1965-1989 we found an average apprehension probability of .35, confirming earlier estimates. We then applied annual probabilities to estimate the gross volume of undocumented Mexican migration and adjusted these figures to derive estimates of the net undocumented inflow.",3
1995,32,3,407-424,Robert,A.,Moffitt,Michael,S.,Rendall,,,,,,,"Cohort Trends in the Lifetime Distribution of Female Family Headship in the United States, 1968-1985","We use the PSID Relationship File to estimate cohort trends in the lifetime incidence and duration of female family headship. Hazard (event-history) techniques are used to estimate movements into and out of headship, accounting for duration dependence and left-censored spells. The mean number of years spent in headship between ages 14 and 59 rose dramatically over the period. The increase arose from an increased number of headship spells, including an increase in the number of women ever experiencing headship, but not at all from an increase in durations of headship spells; those decreased slightly.",1
1995,32,4,577-598,Harriet,B.,Presser,,,,,,,,,,"Job, Family, and Gender: Determinants of Nonstandard Work Schedules Among Employed Americans in 1991","This study provides the most recent national estimates of the prevalence of employment during nonstandard hours (evenings, nights, or rotating hours) and on weekends. It also examines in a multivariate context the relevance of job and family characteristics as determinants of such employment, separately for men and for women. The findings support the contention that the demand for employment during nonstandard hours and weekends is pervasive throughout the occupational hierarchy, but particularly in service occupations and in personal service industries and for both men and women. Gender differences exist, however, in the relevance of family factors. Being married reduces women's but not men's likelihood of employment during nonstandard hours, and the presence of children affects women's but not men's hours and days of employment. (The direction of the effect for women depends on the children's age.) Implications of these findings are discussed.",4
1995,32,2,159-182,Adrian,E.,Raftery,Steven,M.,Lewis,Akbar,,Aghajanian,,,,Demand or Ideation? Evidence from the Iranian Marital Fertility Decline,"Is the onset of fertility decline caused by structural socioeconomic changes or by the transmission of new ideas? The decline of marital fertility in Iran provides a quasi-experimental setting for addressing this question. Massive economic growth started in 1955; measurable ideational changes took place in 1967. We argue that the decline is described more precisely by demand theory than by ideation theory. It began around 1959, just after the onset of massive economic growth but well before the ideational changes. It paralleled the rapid growth of participation in primary education, and we found no evidence that the 1967 events had any effect on the decline. More than one-quarter of the decline can be attributed to the reduction in child mortality, a key mechanism of demand theory. Several other findings support this main conclusion.",1
1995,32,4,557-575,Sassler,,Sharon,,,,,,,,,,Trade-Offs in the Family: Sibling Effects on Daughters' Activities in 1910,"This paper uses the 1910 Census Public Use Sample to examine how the presence and activities of key family members shaped the labor force activity, domestic work, and schooling of working-age daughters. There is no evidence that daughters worked to send their brothers to school; parents practiced a more egalitarian distribution of resources than the literature suggests. Having brothers and sisters in school increased a daughter's odds of attending school herself. Similarly, daughters with employed siblings were more likely to be gainfully employed. Nonetheless, parents allocated activities to sons and daughters in ways that reinforced traditional gender roles. Working brothers increase daughters' likelihood of working in the home, while reducing their odds of attending school.",4
1995,32,1,29-45,Merril,,Silverstein,,,,,,,,,,Stability and Change in Temporal Distance between the Elderly and Their Children,"Drawing on a developmental model of late-life migration, this paper investigates how older people's health and social characteristics influence stability and change in their temporal distance from their children. Data from the Longitudinal Study of Aging are used to examine both discrete transitions and continuous change in distance over a four-year period. Decline in older parents' physical health increased the propensity of parents and children to become temporally closer to each other. Among those parent-child pairs who had become closer, the conjunction of declining health and widowhood increased both the degree of non-coresident proximity and the likelihood of transition to coresidence. The findings portray a geographically resilient family that adjusts to the changing needs of its older members.",3
1995,32,4,533-542,Ilene,S.,Speizer,,,,,,,,,,A Marriage Trichotomy and its Applications,"This paper promotes research methods specific to men, the new focus of fertility and family planning studies (especially in sub-Saharan Africa). I propose a novel marriage categorization based on married men's intentions to take another wife. The three marriage groups are currently monogamous men who intend to remain so, currently monogamous men who intend to become polygynous, and currently polygynous men. The first analysis demonstrates that typical marriage analyses may misclassify men who intend to become polygynous. Applications of the marriage trichotomy illustrate that men with varying marital intentions have differing desires regarding fertility and family planning.",1
1995,32,1,81-96,Elizabeth,,Thomson,Yvonne,,Brandreth,,,,,,,Measuring Fertility Demand,"We propose a multidimensional conceptualization of fertility demand and evaluate potential measures of each dimension, using data from a telephone survey of Wisconsin residents age 18-34. Most of the measures met tests for interval-level measurement; all produced high estimates of test-retest reliability. We found support for only two dimensions of demand, intensity and certainty; potential measures of centrality had relatively low associations with any of the latent dimensions. Demand certainty improved prediction of fertility expectations beyond a trichotomous (yes, no, don't know) measure, but demand intensity did not. We found mixed evidence for the conceptualization of fertility demand as a single continuum on which desire to avoid pregnancy is the opposite of desire to have a child.",1
1995,32,4,483-507,Linda,J.,Waite,,,,,,,,,,Does Marriage Matter?,,1
1995,32,2,281-297,Robin,M.,Weinick,,,,,,,,,,Sharing a Home: The Experiences of American Women and Their Parents over the Twentieth Century,"Trends and determinants of daughter-parent coresidence over the twentieth century are examined by using the 1987-1988 National Survey of Families and Households. Young women from more recent birth cohorts leave their parents' homes for the first time at earlier ages, but are more likely to make return trips home than those born earlier. Thus cohorts show remarkable consistency in the proportion of life lived in the parental home. For the 1900-1929 birth cohorts, daughters' lifetime probability that a parent will move in with them is approximately 15%; younger cohorts show similar age-specific probabilities to date. Explanations for these trends are considered.",1
1995,32,4,521-532,Zheng,,Wu,T.,R.,Balakrishman,,,,,,,Dissolution of Premarital Cohabitation in Canada,"The rapid increase in the number of unmarried cohabiting couples, indicated by recent evidence, is crucial to our understanding of changing marriage patterns. The levels and patterns of entry into cohabitation have been well documented over the last two decades, but little is known about the outcomes of nonmarital cohabitation. In this study we examine two competing outcomes of cohabitation relationships: union separation and legalization of the union through marriage. Our results show that the hazard rate of union dissolution is affected particularly by gender, fertility status, partner's marital status, religion, age at start of cohabitation, year cohabitation commenced, and region.",1
2010,47,3,,,,,,,,,,,,,,"How Does the Age Gap Between Partners Affect Their Survival? (vol 47, pg 318, 2010)",,2
2010,47,2,521-536,Deepankar,,Basu,Robert,De,Jong,,,,,,,SON TARGETING FERTILITY BEHAVIOR: SOME CONSEQUENCES AND DETERMINANTS,"This article draws out some implications of son targeting fertility behavior and studies its determinants. We demonstrate that such behavior has two notable implications at the aggregate level: (a) girls have a larger number of siblings (sibling effect), and (b) girls are born at relatively earlier parities within families (birth-order effect). Empirically testing for these effects, we find that both are present in many countries in South Asia, Southeast Asia, and North Africa but are absent in the countries of sub-Saharan Africa. Using maximum likelihood estimation, we study the effect of covariates on son targeting fertility behavior in India, a country that displays significant sibling and birth-order effects. We find that income and geographic location of families significantly affect son targeting behavior.",1
2010,47,4,1013-1034,Hilde,,Bras,Aart,C.,Liefbroer,Cees,H.,Elzinga,,,,STANDARDIZATION OF PATHWAYS TO ADULTHOOD? AN ANALYSIS OF DUTCH COHORTS BORN BETWEEN 1850 AND 1900,"This article examines pathways to adulthood among Dutch cohorts born in the second half of the nineteenth century. Although largely overlooked by previous studies, theory suggests that life courses of young adults born during this period were already influenced by a process of standardization, in the sense that their life courses became more similar over time. Using data from a Dutch registry-based sample, we examine household trajectories: that is, sequences of living arrangements of young adults aged 15-40. Our study shows that for successive cohorts, household trajectories became more similar We identified six types of trajectories: early death, life-cycle service, early family formation, late family formation, singlehood, and childless but with partner Over time, early family formation gradually became the ""standard"" trajectory to adulthood. However, late family formation and singlehood, common pathways within the preindustrial western European marriage pattern, remained widespread among cohorts born in the late nineteenth century. Laboring class youths, farmers' daughters, young people of mixed religious background, and urban-born youngsters were the nineteenth century forerunners of a standard pathway to adulthood.",6
